Shot #,Link,Comments,,,,,,,
1160930033,Alcator C-Mod Shot Information for shot 1160930033,,,,,155 shots in total > list,,"[971222018, 980203010, 971222020, 980203011, 980203013, 1040406023, 980204041, 1031211017, 1040406025, 1040406027, 1080320012, 1080320009, 1010731025, 1140714009, 1071018012, 1140521013, 1150611001, 1160915006, 971219010, 1101203015, 971219022, 971219029, 980114006, 971218014, 971218015, 971218016, 980114015, 980114017, 980114018, 980114019, 960125027, 971218022, 971218023, 971218027, 971218028, 971218029, 1050812014, 1160913017, 1101201024, 980219012, 980219015, 980219017, 980219018, 980219019, 980219020, 980219021, 980218005, 980218006, 980218008, 980218011, 1001018013, 980218015, 980218016, 980218017, 1070927010, 1070927011, 1070927012, 1070927013, 980218022, 1070927014, 1070927009, 980218029, 1110201006, 980217011, 980217012, 980217013, 980218035, 980217015, 1100324020, 951012027, 980217020, 980217022, 980217024, 980217028, 980217029, 980217031, 980217033, 960227018, 980217034, 1030520026, 1050615011, 1160930033, 1160930034, 1021003013, 1160928019, 1030709012, 1040415006, 1150922029, 980211007, 960223045, 980211014, 960223047, 980211016, 980211019, 980211020, 980211021, 1140702027, 980211025, 980211028, 980211030, 980211031, 980211032, 980211033, 980211034, 1080221018, 980211037, 950216029, 1140701023, 960328033, 980210019, 980210020, 980210021, 1140807014, 980210023, 980210024, 980210025, 980210026, 1140807015, 1140701030, 1140613002, 1140613003, 1140613008, 980122009, 980122010, 980123033, 980123034, 1160901022, 1160901023, 1040218018, 1120815014, 980122028, 990915001, 1060526022, 1060526024, 1060526027, 1060526032, 1060526033, 1150722004, 980120022, 980120023, 1051202011, 980120027, 1060824027, 1100716006, 1100226026, 1100226027, 930625004, 1160706029, 980204015, 980204016, 980204021, 1100715003, 1040406012, 1040406014, 1040406015]",
1160928019,Alcator C-Mod Shot Information for shot 1160928019,Interesting activation of a TAE as LH heating is turned on. Search through all of 1160928- to see if this trend continues,,,,,,,
1051202011,Previously compared here,,,,,,,,
1040406023,,"From snipes/sears. We need to plot spec and check it. Possible TAE, cascades  ",,?,,,,,
1040406014,,From snipes/sears. We need to plot spec and check it. Possible EAEs .,,?,,,,,
1040406015,,From snipes/sears. We need to plot spec and check it,,?,,,,,
1040218018,,From Snipes. TAEs,,?,,,,,
1040406012,,From Snipes. TAEs,,?,,,,,
971218015,,From Snipes. TAEs,,?,,,,,
980211016,,From Snipes. TAEs,,?,,,,,
980211014,,From Snipes. TAEs,,?,,,,,
960227018,,From Snipes. TAEs,,?,,,,,
971218015,,From Snipes. TAEs,,?,,,,,
990915001,,From Snipes. TAEs,,?,,,,,
960223047,,From Snipes. TAEs,,?,,,,,
960223045,,From Snipes TAE.dat,RS,?,,,,,
960223047,,From Snipes TAE.dat,RS,?,,,,,
971218014,,From Snipes TAE.dat,EDA,?,,,,,
971218015,,From Snipes TAE.dat,EDA,?,,,,,
971218016,,From Snipes TAE.dat,EDA,?,,,,,
